SYMBOL,DATE,ACTUAL,FORECAST,LOWER_BOUND,UPPER_BOUND
SBUX,2024-08-16 00:00:00.000 Z,94.81,,,
SBUX,2024-08-15 00:00:00.000 Z,94.88,,,
SBUX,2024-08-14 00:00:00.000 Z,93.90,,,
SBUX,2024-08-13 00:00:00.000 Z,95.90,,,
SBUX,2024-08-12 00:00:00.000 Z,77.03,,,
SBUX,2024-08-09 00:00:00.000 Z,75.09,,,
SBUX,2024-08-08 00:00:00.000 Z,75.75,,,
SBUX,2024-08-07 00:00:00.000 Z,75.29,,,
SBUX,2024-08-06 00:00:00.000 Z,75.37,,,
SBUX,2024-08-05 00:00:00.000 Z,73.86,,,
SBUX,2024-08-02 00:00:00.000 Z,75.88,,,
SBUX,2024-08-01 00:00:00.000 Z,75.11,,,
SBUX,2024-07-31 00:00:00.000 Z,77.95,,,
SBUX,2024-07-30 00:00:00.000 Z,75.94,,,
SBUX,2024-07-29 00:00:00.000 Z,75.20,,,
SBUX,2024-07-26 00:00:00.000 Z,74.05,,,
SBUX,2024-07-25 00:00:00.000 Z,73.32,,,
SBUX,2024-07-24 00:00:00.000 Z,74.68,,,
SBUX,2024-07-23 00:00:00.000 Z,76.26,,,
SBUX,2024-07-22 00:00:00.000 Z,76.55,,,
SBUX,2024-07-19 00:00:00.000 Z,79.27,,,
SBUX,2024-07-18 00:00:00.000 Z,74.19,,,
SBUX,2024-07-17 00:00:00.000 Z,75.10,,,
SBUX,2024-07-16 00:00:00.000 Z,75.51,,,
SBUX,2024-07-15 00:00:00.000 Z,72.75,,,
NYT,2024-10-11 00:00:00.000 Z,55.44,,,
NYT,2024-10-10 00:00:00.000 Z,55.10,,,
NYT,2024-10-09 00:00:00.000 Z,55.29,,,
NYT,2024-10-08 00:00:00.000 Z,54.91,,,
NYT,2024-10-07 00:00:00.000 Z,54.52,,,
NYT,2024-10-04 00:00:00.000 Z,55.16,,,
NYT,2024-10-03 00:00:00.000 Z,54.73,,,
NYT,2024-10-02 00:00:00.000 Z,55.51,,,
NYT,2024-10-01 00:00:00.000 Z,55.21,,,
NYT,2024-09-30 00:00:00.000 Z,55.67,,,
NYT,2024-09-27 00:00:00.000 Z,55.32,,,
NYT,2024-09-26 00:00:00.000 Z,55.16,,,
NYT,2024-09-25 00:00:00.000 Z,55.00,,,
NYT,2024-09-24 00:00:00.000 Z,55.08,,,
NYT,2024-09-23 00:00:00.000 Z,55.09,,,
NYT,2024-09-20 00:00:00.000 Z,54.49,,,
NYT,2024-09-19 00:00:00.000 Z,54.56,,,
NYT,2024-09-18 00:00:00.000 Z,55.06,,,
NYT,2024-09-17 00:00:00.000 Z,55.47,,,
NYT,2024-09-16 00:00:00.000 Z,54.37,,,
NYT,2024-09-13 00:00:00.000 Z,53.54,,,
NYT,2024-09-12 00:00:00.000 Z,52.75,,,
NYT,2024-09-11 00:00:00.000 Z,52.38,,,
NYT,2024-09-10 00:00:00.000 Z,52.69,,,
NYT,2024-09-09 00:00:00.000 Z,52.71,,,
NYT,2024-09-06 00:00:00.000 Z,52.99,,,
NYT,2024-09-05 00:00:00.000 Z,54.10,,,
SBUX,2024-10-11 00:00:00.000 Z,95.55,,,
SBUX,2024-10-10 00:00:00.000 Z,93.88,,,
SBUX,2024-10-09 00:00:00.000 Z,95.88,,,
SBUX,2024-10-08 00:00:00.000 Z,96.21,,,
SBUX,2024-10-07 00:00:00.000 Z,96.09,,,
SBUX,2024-10-04 00:00:00.000 Z,96.58,,,
SBUX,2024-10-03 00:00:00.000 Z,95.56,,,
SBUX,2024-10-02 00:00:00.000 Z,96.50,,,
SBUX,2024-10-01 00:00:00.000 Z,97.43,,,
SBUX,2024-09-30 00:00:00.000 Z,97.49,,,
SBUX,2024-09-27 00:00:00.000 Z,97.36,,,
SBUX,2024-09-26 00:00:00.000 Z,97.47,,,
SBUX,2024-09-25 00:00:00.000 Z,95.62,,,
SBUX,2024-09-24 00:00:00.000 Z,94.45,,,
SBUX,2024-09-23 00:00:00.000 Z,95.48,,,
SBUX,2024-09-20 00:00:00.000 Z,96.05,,,
SBUX,2024-09-19 00:00:00.000 Z,96.90,,,
SBUX,2024-09-18 00:00:00.000 Z,96.12,,,
SBUX,2024-09-17 00:00:00.000 Z,96.44,,,
SBUX,2024-09-16 00:00:00.000 Z,96.31,,,
SBUX,2024-09-13 00:00:00.000 Z,98.57,,,
SBUX,2024-09-12 00:00:00.000 Z,99.28,,,
SBUX,2024-09-11 00:00:00.000 Z,98.20,,,
SBUX,2024-09-10 00:00:00.000 Z,93.34,,,
SBUX,2024-09-09 00:00:00.000 Z,92.21,,,
SBUX,2024-09-06 00:00:00.000 Z,91.15,,,
SBUX,2024-09-05 00:00:00.000 Z,91.56,,,
SBUX,2024-09-04 00:00:00.000 Z,92.33,,,
SBUX,2024-09-03 00:00:00.000 Z,93.18,,,
SBUX,2024-08-30 00:00:00.000 Z,94.57,,,
SBUX,2024-08-29 00:00:00.000 Z,94.86,,,
SBUX,2024-08-28 00:00:00.000 Z,95.30,,,
SBUX,2024-08-27 00:00:00.000 Z,98.60,,,
SBUX,2024-08-26 00:00:00.000 Z,95.63,,,
SBUX,2024-08-23 00:00:00.000 Z,94.02,,,
SBUX,2024-08-22 00:00:00.000 Z,92.43,,,
SBUX,2024-08-21 00:00:00.000 Z,92.78,,,
SBUX,2024-08-20 00:00:00.000 Z,93.01,,,
SBUX,2024-08-19 00:00:00.000 Z,92.30,,,
NYT,2024-09-04 00:00:00.000 Z,53.95,,,
NYT,2024-09-03 00:00:00.000 Z,53.71,,,
NYT,2024-08-30 00:00:00.000 Z,54.93,,,
NYT,2024-08-29 00:00:00.000 Z,54.29,,,
NYT,2024-08-28 00:00:00.000 Z,55.17,,,
NYT,2024-08-27 00:00:00.000 Z,55.31,,,
NYT,2024-08-26 00:00:00.000 Z,55.12,,,
NYT,2024-08-23 00:00:00.000 Z,55.04,,,
NYT,2024-08-22 00:00:00.000 Z,54.53,,,
NYT,2024-08-21 00:00:00.000 Z,55.10,,,
NYT,2024-08-20 00:00:00.000 Z,54.68,,,
NYT,2024-08-19 00:00:00.000 Z,54.99,,,
NYT,2024-08-16 00:00:00.000 Z,54.28,,,
NYT,2024-08-15 00:00:00.000 Z,54.65,,,
NYT,2024-08-14 00:00:00.000 Z,54.56,,,
NYT,2024-08-13 00:00:00.000 Z,54.56,,,
NYT,2024-08-12 00:00:00.000 Z,53.83,,,
NYT,2024-08-09 00:00:00.000 Z,53.97,,,
NYT,2024-08-08 00:00:00.000 Z,53.71,,,
NYT,2024-08-07 00:00:00.000 Z,53.92,,,
NYT,2024-08-06 00:00:00.000 Z,52.13,,,
NYT,2024-08-05 00:00:00.000 Z,51.10,,,
NYT,2024-08-02 00:00:00.000 Z,52.02,,,
NYT,2024-08-01 00:00:00.000 Z,53.35,,,
NYT,2024-07-31 00:00:00.000 Z,53.59,,,
NYT,2024-07-30 00:00:00.000 Z,53.41,,,
NYT,2024-07-29 00:00:00.000 Z,53.54,,,
NYT,2024-07-26 00:00:00.000 Z,53.87,,,
NYT,2024-07-25 00:00:00.000 Z,53.39,,,
NYT,2024-07-24 00:00:00.000 Z,54.53,,,
NYT,2024-07-23 00:00:00.000 Z,55.29,,,
NYT,2024-07-22 00:00:00.000 Z,55.09,,,
NYT,2024-07-19 00:00:00.000 Z,52.39,,,
NYT,2024-07-18 00:00:00.000 Z,52.64,,,
NYT,2024-07-17 00:00:00.000 Z,53.29,,,
NYT,2024-07-16 00:00:00.000 Z,53.74,,,
NYT,2024-07-15 00:00:00.000 Z,53.58,,,
SBUX,2024-10-14 00:00:00.000 Z,,95.678764521,93.47069554,97.93486481
SBUX,2024-10-15 00:00:00.000 Z,,95.802488924,93.310695826,98.269811301
SBUX,2024-10-16 00:00:00.000 Z,,95.775655797,93.104400402,98.374248838
SBUX,2024-10-17 00:00:00.000 Z,,95.70756026,92.906506339,98.546098951
SBUX,2024-10-18 00:00:00.000 Z,,95.745587624,92.832777108,98.623863536
SBUX,2024-10-21 00:00:00.000 Z,,95.649108222,92.702469998,98.549106636
SBUX,2024-10-22 00:00:00.000 Z,,95.752316341,92.610045019,98.867405041
SBUX,2024-10-23 00:00:00.000 Z,,95.792634325,92.545213598,98.9466446
SBUX,2024-10-24 00:00:00.000 Z,,95.752212652,92.446012472,98.930545034
SBUX,2024-10-25 00:00:00.000 Z,,95.908357005,92.470791259,99.27758236
SBUX,2024-10-28 00:00:00.000 Z,,95.930487903,92.446661924,99.417212615
SBUX,2024-10-29 00:00:00.000 Z,,95.980207291,92.335276556,99.585759379
SBUX,2024-10-30 00:00:00.000 Z,,96.034914625,92.311162994,99.510598858
SBUX,2024-10-31 00:00:00.000 Z,,95.996792546,92.112825767,99.488421665
NYT,2024-10-14 00:00:00.000 Z,,55.331409454,55.1110309,55.551788009
NYT,2024-10-15 00:00:00.000 Z,,55.431224823,55.119562482,55.742887164
NYT,2024-10-16 00:00:00.000 Z,,55.460224152,55.078517298,55.841931005
NYT,2024-10-17 00:00:00.000 Z,,55.454223633,55.013466523,55.894980742
NYT,2024-10-18 00:00:00.000 Z,,55.466220856,54.973439427,55.959002285
NYT,2024-10-21 00:00:00.000 Z,,55.408893585,54.869078576,55.948708595
NYT,2024-10-22 00:00:00.000 Z,,55.422382355,54.839315505,56.005449205
NYT,2024-10-23 00:00:00.000 Z,,55.413627625,54.790302943,56.036952306
NYT,2024-10-24 00:00:00.000 Z,,55.494762421,54.833626756,56.155898085
NYT,2024-10-25 00:00:00.000 Z,,55.527454376,54.830556196,56.224352557
NYT,2024-10-28 00:00:00.000 Z,,55.632591248,54.90167827,56.363504225
NYT,2024-10-29 00:00:00.000 Z,,55.688022614,54.924608906,56.451436321
NYT,2024-10-30 00:00:00.000 Z,,55.702732086,54.908145907,56.497318265
NYT,2024-10-31 00:00:00.000 Z,,55.737579346,54.912998299,56.562160393
